Question,Correct,Your Answer,,Topic,Difficulty
35,2,C,,"Clear & Concise Writing, Passage iii",3
36,3,G,,"Modifiers & Modification, Passage iii",4
37,0,A,,"Clear & Concise Writing, Passage iii",1
38,3,F,,"Content, Passage iii",4
39,1,C,,"Punctuation, No Change, Passage iii",2
40,3,G,,"Content, Passage iii",5
41,0,C,,"No Change, Passage iii, Conjunctions",1
42,2,F,,"Modifiers & Modification, Passage iii",3
43,2,D,,"Content, Passage iii",3
44,1,J,,"Verb Tense / Form, Passage iii",2
45,3,B,,"Paragraph Organization, Passage iii",4
46,1,J,,"Content, Passage iv",2
47,1,B,,"Verb Tense / Form, Passage iv",2
48,2,H,,"Verb Tense / Form, Passage iv",3
49,3,C,,"Paragraph Organization, Passage iv",4
50,1,H,,"Clear & Concise Writing, Passage iv",2
51,2,B,,"Pronoun Shift, Passage iv",3
52,2,J,,"Idioms & Word Choice, Passage iv",3
53,1,B,,"Punctuation, Passage iv",2
54,3,J,,"Content, No Change, Passage iv",4
55,2,D,,"Clear & Concise Writing, Passage iv",3
56,2,F,,"Pronoun Shift, No Change, Passage iv",3
57,2,A,,"Punctuation, Passage iv",3
58,2,H,,"Clear & Concise Writing, Passage iv",3
59,3,C,,"Adverb / Adjective Confusion, Passage iv",4
60,3,F,,"Content, Passage iv",5
61,1,D,,"Punctuation, Passage v",2
62,2,J,,"Idioms & Word Choice, Passage v",3
63,3,B,,"Punctuation, Passage v",4
64,3,J,,"Content, Passage v",4
65,2,B,,"Clear & Concise Writing, No Change, Passage v",3
66,3,J,,"Clear & Concise Writing, No Change, Passage v",4
67,2,C,,"Comparisons & Parallelism, Passage v",3
68,2,F,,"Fragment, Passage v",3
69,1,D,,"Punctuation, No Change, Passage v",2
70,2,J,,"Idioms & Word Choice, No Change, Passage v",3
71,3,B,,"Content, Passage v",5
72,3,J,,"Modifiers & Modification, Passage v",4
73,3,B,,"Paragraph Organization, Passage v",4
74,2,J,,"Content, Passage v",3
75,3,C,,"Content, Passage v",4
